                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                0.96221,                0.65578,                 0.8352,                0.79885,                0.73847,                0.83142,                0.62906,                0.85258,                0.61624,                0.82089,               0.000812,               0.000812,               0.000812
                     38,                0.96647,                0.65785,                0.83515,                0.80527,                0.74049,                 0.8358,                  0.633,                0.84945,                 0.6074,                0.82035,               0.000779,               0.000779,               0.000779
                     39,                0.96343,                0.65842,                0.83345,                0.80501,                0.73985,                0.83487,                 0.6334,                0.85041,                0.60904,                 0.8206,               0.000746,               0.000746,               0.000746
                     40,                0.95306,                0.65103,                0.83412,                0.81045,                 0.7424,                0.83904,                0.63855,                0.84067,                0.60103,                0.81998,               0.000713,               0.000713,               0.000713
                     41,                0.95475,                0.65132,                0.83359,                0.80392,                0.73933,                0.83419,                0.63441,                0.84421,                0.60756,                 0.8199,                0.00068,                0.00068,                0.00068
                     42,                0.95204,                0.65045,                0.83301,                0.81101,                0.74414,                0.84008,                0.63891,                0.83961,                0.59937,                0.81913,               0.000647,               0.000647,               0.000647
                     43,                0.94957,                0.64942,                0.83224,                 0.8099,                0.74348,                0.83983,                0.64047,                 0.8368,                0.59969,                0.81886,               0.000614,               0.000614,               0.000614
                     44,                 0.9425,                0.64635,                0.83245,                0.81329,                0.74422,                0.84197,                 0.6403,                0.83945,                0.59647,                0.81854,               0.000581,               0.000581,               0.000581
                     45,                  0.939,                0.63968,                0.83153,                0.80865,                0.74659,                 0.8406,                0.64032,                0.83623,                 0.5998,                0.81853,               0.000548,               0.000548,               0.000548
                     46,                0.93509,                0.64012,                 0.8313,                0.80519,                 0.7417,                0.83633,                0.63757,                0.83617,                0.60129,                0.81848,               0.000515,               0.000515,               0.000515
                     47,                0.93722,                0.64251,                0.83189,                0.80764,                0.74456,                0.83925,                 0.6398,                0.83313,                0.59815,                0.81805,               0.000482,               0.000482,               0.000482
                     48,                0.93294,                0.63903,                0.83067,                0.80724,                0.74171,                0.83669,                0.63811,                0.83353,                0.60034,                0.81799,               0.000449,               0.000449,               0.000449
                     49,                0.92888,                0.63638,                0.83071,                0.81153,                0.74545,                0.84122,                  0.643,                0.82827,                0.59459,                0.81778,               0.000416,               0.000416,               0.000416
                     50,                0.92707,                0.63652,                 0.8303,                0.81423,                0.74732,                0.84272,                0.64399,                0.82908,                0.59573,                0.81742,               0.000383,               0.000383,               0.000383
                     51,                0.86607,                0.61297,                0.82342,                0.83834,                0.75862,                0.85989,                0.65928,                0.81975,                0.57401,                0.81664,                0.00035,                0.00035,                0.00035
                     52,                0.85901,                0.60718,                0.82271,                0.83714,                0.76045,                0.86008,                0.66018,                0.81748,                0.57272,                0.81634,               0.000317,               0.000317,               0.000317
                     53,                0.85518,                0.60269,                0.82203,                0.83871,                0.76232,                0.86265,                0.66247,                0.81374,                0.56966,                0.81613,               0.000284,               0.000284,               0.000284
                     54,                0.85323,                0.60112,                0.82239,                0.84051,                0.76289,                0.86311,                0.66398,                0.81119,                0.56828,                0.81579,               0.000251,               0.000251,               0.000251
                     55,                0.84814,                0.59881,                0.82211,                0.84112,                 0.7626,                0.86343,                0.66443,                0.81069,                0.56679,                0.81565,               0.000218,               0.000218,               0.000218
                     56,                0.84504,                0.59636,                0.82156,                0.84123,                0.76331,                0.86393,                 0.6659,                0.80797,                0.56495,                0.81553,               0.000185,               0.000185,               0.000185
                     57,                0.84156,                0.59273,                0.82144,                0.84237,                0.76231,                 0.8636,                0.66526,                0.80872,                0.56533,                0.81547,               0.000152,               0.000152,               0.000152
                     58,                0.83927,                0.59179,                0.82104,                0.84001,                0.76166,                0.86282,                0.66463,                0.80763,                0.56534,                0.81539,               0.000119,               0.000119,               0.000119
                     59,                0.83622,                0.58842,                0.82113,                0.84208,                0.76296,                0.86404,                0.66612,                0.80603,                0.56344,                0.81519,                8.6e-05,                8.6e-05,                8.6e-05
                     60,                0.83324,                0.58662,                0.82072,                0.84263,                 0.7622,                0.86416,                0.66605,                0.80553,                0.56314,                0.81512,                5.3e-05,                5.3e-05,                5.3e-05
